subclass
L23_IT
L6_IT
L23_IT
L45_IT
L23_IT
L23_IT
OPC
VLMC
L5_IT
L23_IT
Astrocytes
Oligodendrocytes
Oligodendrocytes
Astrocytes
Astrocytes
L45_IT
L23_IT
L6_IT
Astrocytes
OPC
L23_IT
L6_IT
OPC
L6_IT
L23_IT
Astrocytes
Endothelial
Oligodendrocytes
L23_IT
L23_IT
L23_IT
Endothelial
L6_IT_Car3
Oligodendrocytes
L23_IT
Endothelial
L23_IT
L5_IT
Lamp5
L45_IT
L5_PT
Oligodendrocytes
L5_PT
L5_PT
Astrocytes
Microglia
VLMC
L45_IT
L23_IT
L5_IT
L23_IT
Microglia
L45_IT
Oligodendrocytes
L6_IT
Pericytes
L6_IT
Astrocytes
Oligodendrocytes
L6_CT
L23_IT
L5_IT
SMC
L5_PT
Endothelial
L5_IT
L6_IT
L6_IT
PVM
L6_IT
Oligodendrocytes
L5_IT
L23_IT
Microglia
L23_IT
PVM
L45_IT
Endothelial
L6_CT
L23_IT
L23_IT
L23_IT
VLMC
Astrocytes
SMC
L6_IT
L23_IT
Microglia
SMC
L5_IT
L5_IT
L6_IT
other
Pvalb
L6_IT_Car3
Astrocytes
other
OPC
L45_IT
Pericytes
L5_IT
Astrocytes
L6_IT_Car3
L6_IT
Pvalb
L45_IT
SMC
Microglia
L45_IT
VLMC
Endothelial
L5_PT
L6_IT
L6_IT
L5_IT
L6_CT
PVM
L45_IT
Astrocytes
L6_CT
Vip
L23_IT
PVM
L23_IT
L5_IT
Astrocytes
L45_IT
Endothelial
L45_IT
L6_CT
Oligodendrocytes
Pericytes
L6_CT
Astrocytes
Endothelial
OPC
L23_IT
Oligodendrocytes
L45_IT
L45_IT
Astrocytes
L5_PT
L23_IT
Lamp5
L6_CT
Endothelial
L6_IT_Car3
L45_IT
L45_IT
L45_IT
L5_PT
L56_NP
L23_IT
Oligodendrocytes
Endothelial
Astrocytes
SMC
Astrocytes
Endothelial
L6_CT
L23_IT
L23_IT
L6_CT
Astrocytes
Astrocytes
L23_IT
SMC
Endothelial
Astrocytes
Astrocytes
L23_IT
L6b
L6_CT
L23_IT
VLMC
Oligodendrocytes
Microglia
Endothelial
PVM
SMC
L6_CT
L23_IT
VLMC
L45_IT
Astrocytes
L23_IT
OPC
SMC
L45_IT
Astrocytes
L6_CT
L45_IT
L45_IT
Pvalb
Oligodendrocytes
L45_IT
L23_IT
L6_CT
Oligodendrocytes
PVM
L23_IT
L6_CT
Astrocytes
L23_IT
L6_CT
L23_IT
Lamp5
L23_IT
L5_IT
L23_IT
L5_PT
Microglia
Oligodendrocytes
L6_IT_Car3
Pvalb
L23_IT
L6_CT
Astrocytes
L23_IT
VLMC
L6_IT
Pvalb
Astrocytes
L45_IT
Oligodendrocytes
L6_CT
Pericytes
Microglia
Oligodendrocytes
Sst
OPC
Pericytes
Microglia
Lamp5
Endothelial
L5_IT
L23_IT
Endothelial
L23_IT
L23_IT
L45_IT
L6_CT
L6_IT
L6_CT
L23_IT
L23_IT
Endothelial
L6_IT
Endothelial
Astrocytes
SMC
Oligodendrocytes
L45_IT
Microglia
Microglia
Astrocytes
L6_CT
L45_IT
L5_IT
L23_IT
L6_CT
Astrocytes
Microglia
L23_IT
Oligodendrocytes
L5_PT
L23_IT
L45_IT
L45_IT
OPC
L6_CT
L6_IT
L23_IT
L23_IT
Endothelial
Oligodendrocytes
PVM
L56_NP
L23_IT
L23_IT
L6_IT
L23_IT
L23_IT
OPC
Endothelial
L56_NP
L23_IT
OPC
Pvalb
L5_PT
L45_IT
L6_IT_Car3
Pericytes
Astrocytes
L45_IT
Microglia
L45_IT
Astrocytes
Astrocytes
L23_IT
L5_IT
Endothelial
L45_IT
L5_PT
Microglia
Oligodendrocytes
Pericytes
Endothelial
PVM
OPC
L23_IT
Pericytes
Oligodendrocytes
Astrocytes
VLMC
Pvalb
Oligodendrocytes
L5_PT
Oligodendrocytes
Astrocytes
VLMC
L6_IT_Car3
L45_IT
Sst
L6_IT_Car3
Oligodendrocytes
Oligodendrocytes
Pvalb
Endothelial
L6_IT
L5_PT
Oligodendrocytes
Oligodendrocytes
Pvalb
Oligodendrocytes
L23_IT
L6_IT_Car3
PVM
L5_IT
Pvalb
Astrocytes
L6_IT_Car3
Microglia
L45_IT
L23_IT
L6_IT
Microglia
Astrocytes
Lamp5
Astrocytes
Oligodendrocytes
Oligodendrocytes
Microglia
Oligodendrocytes
L23_IT
Oligodendrocytes
L6_CT
Oligodendrocytes
L45_IT
L6_IT
Oligodendrocytes
L6_CT
L23_IT
L5_IT
Astrocytes
L6_CT
SMC
L6_CT
Endothelial
L5_IT
L45_IT
L5_PT
L23_IT
L6_IT
other
Oligodendrocytes
L6_IT
L23_IT
Astrocytes
Astrocytes
L6_IT
L6_CT
L23_IT
Pericytes
L5_IT
L5_PT
L23_IT
Endothelial
PVM
Pericytes
OPC
Pericytes
Oligodendrocytes
L6_IT
Astrocytes
L45_IT
L45_IT
L23_IT
Pericytes
L45_IT
L23_IT
L5_IT
Astrocytes
L23_IT
L45_IT
L5_IT
L6_CT
L6_CT
Oligodendrocytes
Astrocytes
VLMC
Astrocytes
L6_IT
L6_CT
L6_IT
L5_IT
Lamp5
Sst
Pericytes
L6_CT
Astrocytes
L5_IT
L6_CT
L6_IT
OPC
L23_IT
L45_IT
L23_IT
SMC
Vip
VLMC
L6_CT
Astrocytes
L45_IT
Pvalb
Oligodendrocytes
L5_IT
L45_IT
L5_IT
L5_PT
L45_IT
Pvalb
Sst
Astrocytes
L23_IT
Oligodendrocytes
L6_IT
L6_IT
L6_CT
Endothelial
L6_CT
L6_IT
Endothelial
Astrocytes
L45_IT
VLMC
L23_IT
Oligodendrocytes
Endothelial
L56_NP
L5_PT
Endothelial
SMC
L6_CT
other
L23_IT
L6_IT
L6_CT
VLMC
L56_NP
Endothelial
Pericytes
Astrocytes
L23_IT
Oligodendrocytes
Astrocytes
VLMC
other
Endothelial
L56_NP
L23_IT
L6_CT
L5_PT
Astrocytes
L45_IT
L23_IT
L23_IT
L5_IT
Oligodendrocytes
L56_NP
L5_IT
L45_IT
L6_CT
L23_IT
L23_IT
Oligodendrocytes
L5_IT
Astrocytes
L45_IT
Endothelial
Astrocytes
Endothelial
Pvalb
VLMC
OPC
Vip
L6_CT
L5_IT
L5_IT
Endothelial
OPC
Oligodendrocytes
L45_IT
VLMC
Microglia
Oligodendrocytes
L23_IT
Oligodendrocytes
Pericytes
L23_IT
L45_IT
Oligodendrocytes
SMC
L23_IT
Lamp5
Astrocytes
Oligodendrocytes
L23_IT
L5_IT
L6_CT
L6_IT
L23_IT
L45_IT
L6_IT
L6_IT_Car3
OPC
L23_IT
Pvalb
VLMC
L23_IT
Oligodendrocytes
L5_IT
L45_IT
L5_IT
L6_CT
L6_CT
L5_IT
L5_IT
OPC
L5_IT
L23_IT
Endothelial
L5_IT
Endothelial
L23_IT
Pericytes
Endothelial
L5_IT
Microglia
VLMC
L6_IT
L6_CT
L6b
Microglia
L23_IT
Pvalb
Astrocytes
Oligodendrocytes
L23_IT
VLMC
L5_IT
L45_IT
L6_IT
L45_IT
L45_IT
L6_IT
L6_CT
L6_CT
L45_IT
Lamp5
Astrocytes
L6_CT
Microglia
L56_NP
L5_IT
L5_PT
L45_IT
Endothelial
L6_CT
Endothelial
SMC
L6_CT
L6_CT
L5_IT
Oligodendrocytes
Oligodendrocytes
SMC
L23_IT
Oligodendrocytes
L45_IT
Oligodendrocytes
PVM
L6_IT
L5_IT
L6_CT
L6_CT
L5_IT
L45_IT
L6_IT
L23_IT
L45_IT
Endothelial
