ClusterName,0,1,neighborhood name
granulocytes,143,839,Tumor boundary
granulocytes,174,1052,Macrophage enriched
granulocytes,505,1005,Tumor boundary
granulocytes,646,14,Tumor boundary
granulocytes,1196,464,T cell enriched
granulocytes,1246,436,T cell enriched
granulocytes,1478,723,T cell enriched
granulocytes,1493,902,Follicle
granulocytes,1624,995,T cell enriched
granulocytes,1661,1092,Immune-infiltrated stroma
granulocytes,1675,1181,T cell enriched
vasculature,133,388,T cell enriched
vasculature,461,975,Tumor boundary
vasculature,519,973,Tumor boundary
vasculature,602,591,Macrophage enriched
vasculature,773,601,Follicle
vasculature,826,654,Follicle
vasculature,845,435,Follicle
vasculature,888,651,T cell enriched
vasculature,911,108,Tumor boundary
vasculature,922,815,T cell enriched
vasculature,1037,291,Immune-infiltrated stroma
vasculature,1051,49,Tumor boundary
vasculature,1101,455,Tumor boundary
vasculature,1098,631,T cell enriched
vasculature,1093,765,Follicle
vasculature,1134,311,Immune-infiltrated stroma
vasculature,1161,391,T cell enriched
vasculature,1205,412,T cell enriched
vasculature,1227,287,Tumor boundary
vasculature,1260,364,Tumor boundary
vasculature,1260,466,T cell enriched
vasculature,1270,477,T cell enriched
vasculature,1314,360,T cell enriched
vasculature,1309,497,T cell enriched
vasculature,1330,524,Immune-infiltrated stroma
vasculature,1338,393,Vascularized smooth muscle
vasculature,1362,455,Vascularized smooth muscle
vasculature,1371,582,Immune-infiltrated stroma
vasculature,1386,123,Immune-infiltrated stroma
vasculature,1397,137,T cell enriched
vasculature,1392,592,Immune-infiltrated stroma
vasculature,1410,447,Vascularized smooth muscle
vasculature,1424,96,T cell enriched
vasculature,1427,84,T cell enriched
vasculature,1416,651,T cell enriched
vasculature,1433,132,T cell enriched
vasculature,1439,145,T cell enriched
vasculature,1436,769,T cell enriched
vasculature,1449,130,T cell enriched
vasculature,1466,90,T cell enriched
vasculature,1457,615,T cell enriched
vasculature,1457,716,T cell enriched
vasculature,1463,728,T cell enriched
vasculature,1462,690,T cell enriched
vasculature,1473,543,Tumor boundary
vasculature,1469,669,T cell enriched
vasculature,1490,810,Immune-infiltrated stroma
vasculature,1487,783,Immune-infiltrated stroma
vasculature,1501,857,T cell enriched
vasculature,1506,621,T cell enriched
vasculature,1510,705,T cell enriched
vasculature,1508,714,T cell enriched
vasculature,1522,652,T cell enriched
vasculature,1522,845,T cell enriched
vasculature,1521,785,Immune-infiltrated stroma
vasculature,1540,687,T cell enriched
vasculature,1540,893,T cell enriched
vasculature,1544,901,T cell enriched
vasculature,1553,822,T cell enriched
vasculature,1562,930,Vascularized smooth muscle
vasculature,1572,990,T cell enriched
vasculature,1567,871,Vascularized smooth muscle
vasculature,1587,1024,Tumor boundary
vasculature,1605,474,Tumor boundary
vasculature,1612,529,Tumor boundary
vasculature,1615,950,T cell enriched
vasculature,1635,572,Tumor boundary
vasculature,1649,455,Tumor boundary
vasculature,1655,517,Tumor boundary
vasculature,1662,1015,T cell enriched
vasculature,1667,1159,T cell enriched
vasculature,1680,641,T cell enriched
vasculature,1690,523,Tumor boundary
vasculature,1695,1139,T cell enriched
vasculature,1692,1123,T cell enriched
vasculature,1706,665,T cell enriched
vasculature,1721,698,T cell enriched
vasculature,1758,660,T cell enriched
vasculature,1751,847,T cell enriched
vasculature,1768,831,T cell enriched
vasculature,1785,740,T cell enriched
vasculature,1782,726,T cell enriched
vasculature,1787,777,T cell enriched
vasculature,1802,767,T cell enriched
vasculature,1846,870,T cell enriched
CD4+ T cells CD45RO+,152,282,T cell enriched
CD4+ T cells CD45RO+,416,616,Tumor boundary
CD4+ T cells CD45RO+,425,933,Tumor boundary
CD4+ T cells CD45RO+,482,758,Tumor boundary
CD4+ T cells CD45RO+,713,352,T cell enriched
CD4+ T cells CD45RO+,719,375,T cell enriched
CD4+ T cells CD45RO+,753,369,Follicle
CD4+ T cells CD45RO+,765,347,Follicle
CD4+ T cells CD45RO+,770,1134,Tumor boundary
CD4+ T cells CD45RO+,852,7,T cell enriched
CD4+ T cells CD45RO+,851,391,Follicle
