ClusterName,0,1,neighborhood name
granulocytes,359,1383,Immune-infiltrated stroma
granulocytes,821,469,T cell enriched
granulocytes,951,272,T cell enriched
granulocytes,1023,1099,T cell enriched
granulocytes,1195,770,Immune-infiltrated stroma
vasculature,287,620,Follicle
vasculature,378,1424,Immune-infiltrated stroma
vasculature,588,349,T cell enriched
vasculature,594,326,Follicle
vasculature,613,306,Follicle
vasculature,616,928,Tumor boundary
vasculature,656,322,T cell enriched
vasculature,652,311,T cell enriched
vasculature,671,991,T cell enriched
vasculature,687,1060,T cell enriched
vasculature,695,1074,T cell enriched
vasculature,725,184,T cell enriched
vasculature,787,207,T cell enriched
vasculature,817,1127,T cell enriched
vasculature,870,806,T cell enriched
vasculature,867,1106,Tumor boundary
vasculature,886,1180,T cell enriched
vasculature,950,323,T cell enriched
vasculature,966,310,T cell enriched
vasculature,994,866,T cell enriched
vasculature,1027,278,T cell enriched
vasculature,1031,253,T cell enriched
vasculature,1029,861,T cell enriched
vasculature,1142,408,Follicle
vasculature,1161,411,T cell enriched
vasculature,1170,372,Follicle
vasculature,1202,102,T cell enriched
vasculature,1226,109,T cell enriched
vasculature,1218,828,T cell enriched
vasculature,1233,67,T cell enriched
vasculature,1248,40,Immune-infiltrated stroma
vasculature,1234,802,Immune-infiltrated stroma
vasculature,1262,66,T cell enriched
vasculature,1251,819,T cell enriched
vasculature,1252,974,T cell enriched
vasculature,1259,1000,Macrophage enriched
vasculature,1279,68,Follicle
vasculature,1271,972,T cell enriched
vasculature,1292,659,T cell enriched
vasculature,1293,893,Tumor boundary
vasculature,1325,672,T cell enriched
vasculature,1326,719,Macrophage enriched
vasculature,1349,653,T cell enriched
vasculature,1353,735,Immune-infiltrated stroma
vasculature,1375,507,T cell enriched
vasculature,1370,721,Tumor boundary
vasculature,1414,470,T cell enriched
vasculature,1446,459,T cell enriched
vasculature,1439,445,T cell enriched
vasculature,1455,617,T cell enriched
vasculature,1470,255,Follicle
vasculature,1477,217,Follicle
vasculature,1486,760,T cell enriched
vasculature,1516,216,Follicle
vasculature,1519,707,T cell enriched
vasculature,1518,1056,Immune-infiltrated stroma
vasculature,1547,699,T cell enriched
vasculature,1547,730,Immune-infiltrated stroma
vasculature,1553,1037,Tumor boundary
vasculature,1600,243,Follicle
vasculature,1620,1395,Tumor boundary
vasculature,1656,1016,Macrophage enriched
vasculature,1683,1329,Immune-infiltrated stroma
vasculature,1692,1347,Immune-infiltrated stroma
vasculature,1764,1351,T cell enriched
CD4+ T cells CD45RO+,72,454,T cell enriched
CD4+ T cells CD45RO+,85,453,T cell enriched
CD4+ T cells CD45RO+,99,676,Follicle
CD4+ T cells CD45RO+,161,323,Follicle
CD4+ T cells CD45RO+,199,693,Follicle
CD4+ T cells CD45RO+,233,361,Follicle
CD4+ T cells CD45RO+,222,627,T cell enriched
CD4+ T cells CD45RO+,237,593,T cell enriched
CD4+ T cells CD45RO+,265,346,Follicle
CD4+ T cells CD45RO+,249,715,Follicle
CD4+ T cells CD45RO+,268,648,Follicle
CD4+ T cells CD45RO+,280,566,Follicle
CD4+ T cells CD45RO+,286,531,Follicle
