ClusterName,0,1,neighborhood name
granulocytes,61,505,Vascularized smooth muscle
granulocytes,64,730,Vascularized smooth muscle
granulocytes,80,619,Macrophage enriched
granulocytes,87,637,Macrophage enriched
granulocytes,166,150,T cell enriched
granulocytes,127,969,Vascularized smooth muscle
granulocytes,143,710,T cell enriched
granulocytes,180,88,T cell enriched
granulocytes,155,645,Macrophage enriched
granulocytes,151,958,Granulocyte enriched
granulocytes,184,494,Vascularized smooth muscle
granulocytes,175,528,T cell enriched
granulocytes,187,936,T cell enriched
granulocytes,218,610,T cell enriched
granulocytes,216,860,Macrophage enriched
granulocytes,251,203,T cell enriched
granulocytes,238,1037,T cell enriched
granulocytes,228,1160,Macrophage enriched
granulocytes,290,40,T cell enriched
granulocytes,261,716,T cell enriched
granulocytes,272,454,Smooth muscle
granulocytes,296,77,T cell enriched
granulocytes,283,783,T cell enriched
granulocytes,267,805,T cell enriched
granulocytes,315,92,T cell enriched
granulocytes,314,456,T cell enriched
granulocytes,311,1046,T cell enriched
granulocytes,315,870,T cell enriched
granulocytes,323,754,T cell enriched
granulocytes,332,426,Vascularized smooth muscle
granulocytes,348,579,Macrophage enriched
granulocytes,381,13,T cell enriched
granulocytes,374,512,T cell enriched
granulocytes,412,208,Granulocyte enriched
granulocytes,432,199,Granulocyte enriched
granulocytes,446,57,T cell enriched
granulocytes,447,477,Macrophage enriched
granulocytes,460,172,T cell enriched
granulocytes,455,208,T cell enriched
granulocytes,432,867,T cell enriched
granulocytes,481,241,T cell enriched
granulocytes,432,1306,T cell enriched
granulocytes,504,546,T cell enriched
granulocytes,506,1067,T cell enriched
granulocytes,572,222,T cell enriched
granulocytes,587,402,Macrophage enriched
granulocytes,611,277,T cell enriched
granulocytes,616,244,Granulocyte enriched
granulocytes,595,1200,T cell enriched
granulocytes,626,541,T cell enriched
granulocytes,617,892,T cell enriched
granulocytes,643,231,T cell enriched
granulocytes,647,303,Macrophage enriched
granulocytes,637,539,T cell enriched
granulocytes,659,255,Granulocyte enriched
granulocytes,662,152,Macrophage enriched
granulocytes,635,923,T cell enriched
granulocytes,632,1005,Macrophage enriched
granulocytes,684,266,T cell enriched
granulocytes,638,1159,T cell enriched
granulocytes,687,1194,T cell enriched
granulocytes,696,1222,T cell enriched
granulocytes,717,801,Immune-infiltrated stroma
granulocytes,730,465,T cell enriched
granulocytes,743,813,Tumor boundary
granulocytes,781,1229,T cell enriched
granulocytes,791,1302,T cell enriched
granulocytes,831,775,T cell enriched
granulocytes,819,1047,T cell enriched
granulocytes,862,356,T cell enriched
granulocytes,854,674,T cell enriched
granulocytes,837,1159,T cell enriched
granulocytes,873,556,Tumor boundary
granulocytes,880,442,T cell enriched
granulocytes,875,587,T cell enriched
granulocytes,896,375,T cell enriched
granulocytes,875,1171,Macrophage enriched
granulocytes,901,634,T cell enriched
granulocytes,924,211,Tumor boundary
granulocytes,918,651,Granulocyte enriched
granulocytes,899,1293,T cell enriched
granulocytes,909,1108,T cell enriched
granulocytes,953,689,Granulocyte enriched
granulocytes,939,686,Granulocyte enriched
granulocytes,957,623,T cell enriched
granulocytes,947,1290,T cell enriched
granulocytes,968,809,T cell enriched
granulocytes,1015,75,T cell enriched
granulocytes,1006,379,Follicle
granulocytes,957,1300,T cell enriched
granulocytes,987,677,Granulocyte enriched
granulocytes,1007,570,Tumor boundary
granulocytes,1004,672,Granulocyte enriched
granulocytes,1009,623,T cell enriched
granulocytes,995,782,T cell enriched
granulocytes,1020,657,Granulocyte enriched
granulocytes,984,1356,T cell enriched
granulocytes,1048,394,Follicle
granulocytes,1028,706,Granulocyte enriched
granulocytes,1057,174,Macrophage enriched
granulocytes,1047,666,Granulocyte enriched
granulocytes,1046,684,Granulocyte enriched
granulocytes,1078,215,Macrophage enriched
granulocytes,1075,228,Macrophage enriched
granulocytes,1067,660,Granulocyte enriched
granulocytes,1058,817,T cell enriched
granulocytes,1036,1358,T cell enriched
granulocytes,1068,1422,T cell enriched
granulocytes,1115,334,Follicle
granulocytes,1148,90,T cell enriched
granulocytes,1130,637,T cell enriched
granulocytes,1108,983,T cell enriched
granulocytes,1136,1124,T cell enriched
granulocytes,1181,519,T cell enriched
granulocytes,1183,534,T cell enriched
granulocytes,1181,626,Follicle
granulocytes,1176,934,T cell enriched
granulocytes,1197,804,T cell enriched
granulocytes,1197,942,T cell enriched
granulocytes,1230,152,Macrophage enriched
granulocytes,1209,775,Granulocyte enriched
granulocytes,1219,795,T cell enriched
granulocytes,1209,1077,T cell enriched
granulocytes,1226,942,T cell enriched
granulocytes,1250,758,T cell enriched
granulocytes,1274,195,Macrophage enriched
granulocytes,1262,750,T cell enriched
granulocytes,1272,663,T cell enriched
granulocytes,1261,976,T cell enriched
granulocytes,1287,236,Macrophage enriched
granulocytes,1260,1165,T cell enriched
granulocytes,1296,702,Granulocyte enriched
granulocytes,1295,691,T cell enriched
granulocytes,1322,243,Macrophage enriched
granulocytes,1304,730,T cell enriched
granulocytes,1307,899,T cell enriched
granulocytes,1325,726,Granulocyte enriched
granulocytes,1327,645,T cell enriched
granulocytes,1322,1128,T cell enriched
granulocytes,1338,551,T cell enriched
granulocytes,1370,88,T cell enriched
granulocytes,1360,871,T cell enriched
granulocytes,1370,543,Granulocyte enriched
granulocytes,1390,665,T cell enriched
granulocytes,1411,566,T cell enriched
granulocytes,1376,1281,Macrophage enriched
granulocytes,1441,326,T cell enriched
