ClusterName,0,1,neighborhood name
granulocytes,147,838,Immune-infiltrated stroma
granulocytes,208,981,Macrophage enriched
granulocytes,218,860,T cell enriched
granulocytes,241,454,T cell enriched
granulocytes,310,282,T cell enriched
granulocytes,355,790,T cell enriched
granulocytes,380,561,Follicle
granulocytes,376,855,T cell enriched
granulocytes,411,231,Follicle
granulocytes,410,203,T cell enriched
granulocytes,451,218,Granulocyte enriched
granulocytes,459,247,Follicle
granulocytes,473,348,T cell enriched
granulocytes,465,562,Follicle
granulocytes,496,679,Follicle
granulocytes,519,197,T cell enriched
granulocytes,551,551,T cell enriched
granulocytes,648,674,T cell enriched
granulocytes,670,265,T cell enriched
granulocytes,699,230,T cell enriched
granulocytes,703,1079,T cell enriched
granulocytes,732,764,Follicle
granulocytes,765,10,T cell enriched
granulocytes,764,112,T cell enriched
granulocytes,742,1084,T cell enriched
granulocytes,805,266,T cell enriched
granulocytes,820,332,T cell enriched
granulocytes,821,11,T cell enriched
granulocytes,810,1050,T cell enriched
granulocytes,823,473,T cell enriched
granulocytes,822,1039,T cell enriched
granulocytes,832,1288,T cell enriched
granulocytes,875,711,T cell enriched
granulocytes,893,689,Follicle
granulocytes,898,785,T cell enriched
granulocytes,939,396,T cell enriched
granulocytes,950,668,Follicle
granulocytes,957,550,Follicle
granulocytes,974,609,Follicle
granulocytes,996,14,T cell enriched
granulocytes,1000,328,T cell enriched
granulocytes,1111,1218,T cell enriched
granulocytes,1170,179,T cell enriched
granulocytes,1170,194,T cell enriched
granulocytes,1206,437,T cell enriched
granulocytes,1191,1193,T cell enriched
granulocytes,1220,1220,T cell enriched
granulocytes,1354,1014,Follicle
granulocytes,1377,134,T cell enriched
granulocytes,1402,129,T cell enriched
granulocytes,1429,175,Granulocyte enriched
granulocytes,1423,1137,Follicle
granulocytes,1442,180,Granulocyte enriched
granulocytes,1467,189,T cell enriched
granulocytes,1496,700,Follicle
granulocytes,1578,147,T cell enriched
granulocytes,1587,596,T cell enriched
granulocytes,1586,1153,Follicle
granulocytes,1625,1179,Follicle
granulocytes,1686,588,T cell enriched
granulocytes,1707,980,Follicle
vasculature,5,938,Immune-infiltrated stroma
vasculature,7,915,Immune-infiltrated stroma
vasculature,50,661,Macrophage enriched
vasculature,58,564,T cell enriched
vasculature,66,581,T cell enriched
vasculature,105,919,Immune-infiltrated stroma
vasculature,123,460,Follicle
vasculature,160,652,Macrophage enriched
vasculature,170,546,Follicle
vasculature,192,565,Follicle
vasculature,200,546,Follicle
vasculature,206,1040,T cell enriched
vasculature,228,519,Follicle
vasculature,215,1068,Tumor boundary
vasculature,298,547,Follicle
vasculature,329,526,Follicle
vasculature,325,769,T cell enriched
vasculature,341,867,T cell enriched
vasculature,340,614,T cell enriched
vasculature,357,848,T cell enriched
vasculature,366,821,T cell enriched
vasculature,378,644,T cell enriched
vasculature,411,954,Follicle
vasculature,426,671,T cell enriched
vasculature,437,1273,T cell enriched
vasculature,445,684,T cell enriched
vasculature,485,166,Immune-infiltrated stroma
vasculature,475,320,Macrophage enriched
vasculature,472,922,Follicle
vasculature,505,220,T cell enriched
vasculature,491,914,T cell enriched
vasculature,488,751,Follicle
vasculature,512,665,Follicle
vasculature,526,45,T cell enriched
vasculature,511,1045,T cell enriched
vasculature,519,679,T cell enriched
vasculature,517,909,T cell enriched
vasculature,517,1113,T cell enriched
vasculature,535,957,T cell enriched
vasculature,535,1109,T cell enriched
vasculature,528,938,T cell enriched
vasculature,554,1082,T cell enriched
vasculature,559,933,T cell enriched
vasculature,569,1031,T cell enriched
vasculature,577,962,T cell enriched
vasculature,580,948,T cell enriched
vasculature,580,1097,T cell enriched
vasculature,604,53,T cell enriched
vasculature,579,909,T cell enriched
vasculature,579,1124,T cell enriched
vasculature,611,346,Follicle
vasculature,614,355,Follicle
vasculature,603,841,T cell enriched
vasculature,623,380,Follicle
vasculature,619,672,T cell enriched
vasculature,624,1102,T cell enriched
vasculature,623,750,T cell enriched
vasculature,648,50,Follicle
vasculature,636,656,T cell enriched
vasculature,646,608,T cell enriched
vasculature,639,643,T cell enriched
vasculature,641,1173,T cell enriched
vasculature,661,777,Follicle
vasculature,679,207,T cell enriched
vasculature,658,1078,T cell enriched
vasculature,676,643,Follicle
vasculature,663,1192,T cell enriched
vasculature,669,887,T cell enriched
vasculature,684,867,T cell enriched
vasculature,715,323,T cell enriched
vasculature,714,285,T cell enriched
vasculature,710,346,T cell enriched
vasculature,716,827,Follicle
vasculature,704,1062,Immune-infiltrated stroma
vasculature,712,1097,T cell enriched
vasculature,726,254,T cell enriched
vasculature,730,375,T cell enriched
vasculature,727,285,T cell enriched
vasculature,731,233,T cell enriched
vasculature,732,327,T cell enriched
vasculature,714,1125,T cell enriched
vasculature,736,309,Tumor boundary
vasculature,723,1009,Follicle
vasculature,717,1328,T cell enriched
vasculature,726,1077,T cell enriched
vasculature,740,1040,T cell enriched
vasculature,752,391,T cell enriched
vasculature,752,1037,Follicle
vasculature,746,1130,T cell enriched
vasculature,775,419,T cell enriched
vasculature,789,76,T cell enriched
vasculature,766,1025,Follicle
vasculature,807,1302,T cell enriched
vasculature,831,555,Follicle
vasculature,954,1212,Follicle
vasculature,995,1009,Follicle
vasculature,1055,1040,T cell enriched
vasculature,1059,1048,T cell enriched
vasculature,1067,1069,T cell enriched
vasculature,1071,1285,T cell enriched
vasculature,1091,1054,T cell enriched
vasculature,1141,228,T cell enriched
vasculature,1153,467,T cell enriched
vasculature,1205,1375,T cell enriched
vasculature,1311,1125,Follicle
vasculature,1309,1418,T cell enriched
vasculature,1343,412,T cell enriched
