ClusterName,0,1,neighborhood name
granulocytes,65,912,Immune-infiltrated stroma
granulocytes,268,1171,Vascularized smooth muscle
granulocytes,286,986,T cell enriched
granulocytes,286,1159,Vascularized smooth muscle
granulocytes,409,110,T cell enriched
granulocytes,433,86,Immune-infiltrated stroma
granulocytes,437,246,Macrophage enriched
granulocytes,493,391,Macrophage enriched
granulocytes,474,1164,T cell enriched
granulocytes,483,1400,Immune-infiltrated stroma
granulocytes,486,1343,Macrophage enriched
granulocytes,616,423,Immune-infiltrated stroma
granulocytes,618,445,Immune-infiltrated stroma
granulocytes,624,610,T cell enriched
granulocytes,830,445,T cell enriched
granulocytes,836,270,Immune-infiltrated stroma
granulocytes,858,137,Macrophage enriched
granulocytes,866,691,T cell enriched
granulocytes,1469,287,Immune-infiltrated stroma
granulocytes,1539,1271,Granulocyte enriched
granulocytes,1548,1250,Tumor boundary
granulocytes,1539,1281,Granulocyte enriched
granulocytes,1614,1268,Tumor boundary
vasculature,35,590,Vascularized smooth muscle
vasculature,73,960,T cell enriched
vasculature,98,673,Vascularized smooth muscle
vasculature,101,1034,T cell enriched
vasculature,127,389,Vascularized smooth muscle
vasculature,128,549,Vascularized smooth muscle
vasculature,134,614,Vascularized smooth muscle
vasculature,152,631,Immune-infiltrated stroma
vasculature,169,1163,T cell enriched
vasculature,193,702,Vascularized smooth muscle
vasculature,247,591,Vascularized smooth muscle
vasculature,235,1014,Immune-infiltrated stroma
vasculature,223,1214,Immune-infiltrated stroma
vasculature,244,706,Vascularized smooth muscle
vasculature,224,977,T cell enriched
vasculature,262,565,Vascularized smooth muscle
vasculature,244,1118,Immune-infiltrated stroma
vasculature,244,1128,Vascularized smooth muscle
vasculature,253,1107,Immune-infiltrated stroma
vasculature,252,1183,Vascularized smooth muscle
vasculature,256,1197,Vascularized smooth muscle
vasculature,293,507,Vascularized smooth muscle
vasculature,296,490,Vascularized smooth muscle
vasculature,281,817,Vascularized smooth muscle
vasculature,319,17,Vascularized smooth muscle
vasculature,311,443,Vascularized smooth muscle
vasculature,322,66,Smooth muscle
vasculature,297,1011,T cell enriched
vasculature,306,685,Immune-infiltrated stroma
vasculature,322,327,Vascularized smooth muscle
vasculature,284,1099,Vascularized smooth muscle
vasculature,323,302,Vascularized smooth muscle
vasculature,281,1259,Immune-infiltrated stroma
vasculature,285,1209,Vascularized smooth muscle
vasculature,313,649,Macrophage enriched
vasculature,314,666,Macrophage enriched
vasculature,324,257,Vascularized smooth muscle
vasculature,339,180,Vascularized smooth muscle
vasculature,337,547,Vascularized smooth muscle
vasculature,318,624,Macrophage enriched
vasculature,320,1157,Immune-infiltrated stroma
vasculature,338,525,Vascularized smooth muscle
vasculature,352,530,Vascularized smooth muscle
vasculature,359,622,Macrophage enriched
vasculature,329,1187,Vascularized smooth muscle
vasculature,367,1005,Immune-infiltrated stroma
vasculature,401,1423,Immune-infiltrated stroma
vasculature,444,753,Vascularized smooth muscle
vasculature,448,734,Vascularized smooth muscle
vasculature,446,744,Vascularized smooth muscle
vasculature,462,748,Immune-infiltrated stroma
vasculature,465,764,Vascularized smooth muscle
vasculature,470,773,Vascularized smooth muscle
vasculature,465,790,Vascularized smooth muscle
vasculature,495,271,Macrophage enriched
vasculature,498,261,Macrophage enriched
