ClusterName,0,1,neighborhood name
granulocytes,104,1035,Macrophage enriched
granulocytes,157,390,Macrophage enriched
granulocytes,159,734,Vascularized smooth muscle
granulocytes,196,993,Vascularized smooth muscle
granulocytes,227,987,Vascularized smooth muscle
granulocytes,241,897,Smooth muscle
granulocytes,249,965,Vascularized smooth muscle
granulocytes,276,943,Vascularized smooth muscle
granulocytes,278,683,Vascularized smooth muscle
granulocytes,258,1227,Vascularized smooth muscle
granulocytes,289,703,Vascularized smooth muscle
granulocytes,309,1188,Macrophage enriched
granulocytes,332,571,Macrophage enriched
granulocytes,381,352,Immune-infiltrated stroma
granulocytes,409,655,Immune-infiltrated stroma
granulocytes,426,703,Immune-infiltrated stroma
granulocytes,406,1381,Vascularized smooth muscle
granulocytes,432,1084,Vascularized smooth muscle
granulocytes,448,1132,Vascularized smooth muscle
granulocytes,494,174,Smooth muscle
granulocytes,471,826,Macrophage enriched
granulocytes,489,469,Immune-infiltrated stroma
granulocytes,497,376,Granulocyte enriched
granulocytes,497,393,Granulocyte enriched
granulocytes,508,417,Granulocyte enriched
granulocytes,523,401,Granulocyte enriched
granulocytes,521,416,Granulocyte enriched
granulocytes,521,1016,Vascularized smooth muscle
granulocytes,547,781,Macrophage enriched
granulocytes,554,436,Granulocyte enriched
granulocytes,575,576,Granulocyte enriched
granulocytes,591,604,Granulocyte enriched
granulocytes,591,658,Granulocyte enriched
granulocytes,586,852,Macrophage enriched
granulocytes,608,623,Granulocyte enriched
granulocytes,598,636,Granulocyte enriched
granulocytes,557,1358,Smooth muscle
granulocytes,625,351,Immune-infiltrated stroma
granulocytes,611,894,Vascularized smooth muscle
granulocytes,648,505,Immune-infiltrated stroma
granulocytes,652,577,Macrophage enriched
granulocytes,640,910,Vascularized smooth muscle
granulocytes,625,1191,Macrophage enriched
granulocytes,686,226,Vascularized smooth muscle
granulocytes,684,590,Macrophage enriched
granulocytes,678,775,Immune-infiltrated stroma
granulocytes,721,300,Immune-infiltrated stroma
granulocytes,744,758,Immune-infiltrated stroma
granulocytes,758,287,Immune-infiltrated stroma
granulocytes,728,990,Macrophage enriched
granulocytes,762,578,Macrophage enriched
granulocytes,793,533,Granulocyte enriched
granulocytes,809,243,T cell enriched
granulocytes,795,1015,Macrophage enriched
granulocytes,819,605,Macrophage enriched
granulocytes,837,546,Granulocyte enriched
granulocytes,845,563,Granulocyte enriched
granulocytes,852,452,Macrophage enriched
granulocytes,840,756,Macrophage enriched
granulocytes,878,77,Follicle
granulocytes,850,906,Macrophage enriched
granulocytes,874,507,Follicle
granulocytes,847,1024,Vascularized smooth muscle
granulocytes,878,517,Granulocyte enriched
granulocytes,885,619,Macrophage enriched
granulocytes,884,564,Granulocyte enriched
granulocytes,879,1089,Vascularized smooth muscle
granulocytes,918,598,Follicle
granulocytes,909,1148,Granulocyte enriched
granulocytes,923,1107,Vascularized smooth muscle
granulocytes,922,1199,Granulocyte enriched
granulocytes,931,1047,Vascularized smooth muscle
granulocytes,943,1276,Vascularized smooth muscle
granulocytes,949,1166,Granulocyte enriched
granulocytes,968,1228,Immune-infiltrated stroma
granulocytes,987,802,T cell enriched
granulocytes,978,1169,Granulocyte enriched
granulocytes,989,1209,Granulocyte enriched
granulocytes,988,1439,Macrophage enriched
granulocytes,1007,861,Macrophage enriched
granulocytes,1014,1317,T cell enriched
granulocytes,1023,1170,Macrophage enriched
granulocytes,1040,1327,Immune-infiltrated stroma
granulocytes,1106,1236,Macrophage enriched
granulocytes,1102,1150,Macrophage enriched
granulocytes,1113,992,Macrophage enriched
granulocytes,1132,1163,Macrophage enriched
granulocytes,1166,1166,Macrophage enriched
granulocytes,1203,1294,Vascularized smooth muscle
granulocytes,1224,986,T cell enriched
granulocytes,1224,1106,Vascularized smooth muscle
granulocytes,1282,72,Follicle
granulocytes,1249,1018,Immune-infiltrated stroma
granulocytes,1261,950,Follicle
granulocytes,1246,1128,Immune-infiltrated stroma
granulocytes,1293,563,Immune-infiltrated stroma
granulocytes,1294,574,T cell enriched
granulocytes,1265,1302,Macrophage enriched
granulocytes,1276,1206,Macrophage enriched
granulocytes,1316,265,Follicle
granulocytes,1271,1224,Tumor boundary
granulocytes,1285,1027,Immune-infiltrated stroma
granulocytes,1293,1118,Follicle
granulocytes,1297,1027,Immune-infiltrated stroma
