cell_type_annot
Endo
Astro
InN
ExN
ExN
Endo
Endo
Astro
Olig
OPC
InN
Astro
ExN
Astro
Endo
Micro
ExN
Endo
ExN
Macro
Peri
Endo
Astro
ExN
Peri
ExN
ExN
Peri
ExN
InN
Peri
Astro
Olig
Endo
ExN
Endo
Astro
Micro
Peri
Endo
Endo
Peri
Astro
InN
ExN
Astro
Endo
ExN
Endo
ExN
ExN
ExN
ExN
Endo
ExN
ExN
InN
ExN
Astro
ExN
ExN
ExN
ExN
ExN
ExN
Endo
ExN
Endo
InN
Endo
InN
Olig
ExN
InN
ExN
Olig
ExN
ExN
ExN
InN
Peri
ExN
InN
ExN
Peri
ExN
ExN
Endo
InN
ExN
Olig
Endo
Micro
ExN
Astro
Astro
Endo
ExN
Micro
Endo
ExN
ExN
ExN
InN
InN
ExN
InN
Endo
InN
ExN
Endo
InN
Endo
Micro
ExN
ExN
Olig
InN
Micro
InN
ExN
InN
ExN
Olig
ExN
ExN
ExN
Micro
Vlmc
Astro
Peri
ExN
ExN
Endo
ExN
ExN
Astro
ExN
ExN
InN
Endo
Endo
ExN
Endo
Micro
InN
Olig
ExN
Olig
Olig
ExN
ExN
Endo
OPC
ExN
InN
ExN
ExN
InN
InN
ExN
ExN
InN
InN
ExN
Endo
ExN
Olig
ExN
Endo
ExN
ExN
ExN
Astro
ExN
InN
Astro
ExN
ExN
Astro
Endo
ExN
ExN
Astro
ExN
ExN
ExN
ExN
ExN
ExN
InN
Endo
ExN
ExN
Micro
ExN
ExN
ExN
InN
Micro
Peri
ExN
Astro
InN
InN
ExN
InN
InN
InN
Astro
ExN
Peri
ExN
ExN
ExN
ExN
ExN
ExN
Micro
ExN
Astro
Astro
ExN
ExN
Astro
Endo
ExN
ExN
Olig
InN
ExN
Olig
ExN
Olig
ExN
InN
Olig
Endo
Olig
ExN
Endo
Olig
Micro
ExN
ExN
Astro
InN
InN
Peri
Endo
ExN
Endo
Astro
ExN
Endo
ExN
ExN
ExN
InN
InN
Peri
ExN
ExN
Endo
ExN
ExN
Endo
Micro
ExN
Peri
Olig
Endo
ExN
ExN
ExN
ExN
Endo
ExN
Endo
ExN
ExN
ExN
ExN
Olig
Olig
ExN
Endo
ExN
Micro
ExN
ExN
ExN
Olig
Olig
ExN
Endo
ExN
Astro
ExN
Astro
ExN
ExN
Micro
Olig
Peri
Vlmc
ExN
ExN
Endo
Endo
ExN
Endo
ExN
Endo
Endo
ExN
ExN
ExN
ExN
ExN
ExN
ExN
Olig
ExN
