clust_annot
Astro-1
Endo-1
Astro-1
Astro-1
Olig-2
Endo-2
Endo-2
ExN-L2/3-1
OPC
Micro-2
ExN-L2/3-1
Endo-2
InN-Pvalb-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Astro-1
InN-Vip
InN-Calb2-1
ExN-L2/3-1
Endo-1
ExN-L2/3-1
InN-Vip
ExN-L2/3-1
ExN-L2/3-1
Endo-3
Astro-1
Micro-3
ExN-L2/3-1
ExN-L2/3-1
InN-Lamp5
ExN-L2/3-1
ExN-L2/3-1
Endo-1
ExN-L2/3-1
Micro-2
Astro-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Astro-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Astro-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Endo-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Olig-2
Vlmc
Endo-3
Astro-1
Endo-3
InN-Vip
Endo-3
Vlmc
Micro-1
ExN-L2/3-1
Endo-1
InN-Calb2-1
InN-Lamp5
Vlmc
Endo-2
Astro-2
Micro-1
Endo-1
Peri-1
Micro-2
Endo-3
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Endo-3
OPC
ExN-L2/3-1
Olig-2
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
InN-Pvalb-2
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
InN-Pvalb-2
Olig-2
Olig-2
Endo-1
Endo-1
Micro-1
ExN-L2/3-1
ExN-L2/3-1
InN-Lamp5
ExN-L2/3-1
Micro-1
ExN-L2/3-1
OPC
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Endo-1
Endo-1
Astro-1
Endo-3
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Olig-2
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-2
ExN-L2/3-1
ExN-L2/3-2
InN-Calb2-1
ExN-L2/3-1
Endo-1
InN-Pvalb-2
ExN-L2/3-2
Olig-2
ExN-L2/3-2
ExN-L5-2
ExN-L2/3-1
ExN-L2/3-1
Olig-2
Astro-1
ExN-L2/3-1
Endo-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Peri-1
ExN-L2/3-1
InN-Lamp5
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
InN-Lamp5
Olig-2
ExN-L2/3-2
Endo-1
ExN-L2/3-2
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Astro-1
Micro-1
Endo-1
Astro-1
Micro-2
Olig-2
Olig-2
ExN-L5-2
ExN-L2/3-2
Peri-2
ExN-L2/3-2
Endo-1
ExN-L5-2
Endo-1
InN-Chat
InN-Vip
Olig-2
ExN-L5-2
Olig-2
Astro-1
ExN-L2/3-2
Micro-3
ExN-L2/3-1
ExN-L2/3-2
ExN-L5-1
Micro-1
ExN-L5-1
ExN-L2/3-2
ExN-L2/3-2
Micro-1
ExN-L5-1
Endo-3
Endo-1
Astro-1
ExN-L5-1
ExN-L2/3-2
Endo-1
ExN-L2/3-1
Olig-2
ExN-L2/3-2
Vlmc
Astro-1
InN-Pvalb-2
Olig-3
InN-Lamp5
InN-Pvalb-3
Micro-1
ExN-L2/3-2
Olig-2
InN-Calb2-1
ExN-L2/3-2
InN-Lhx6
ExN-L2/3-1
Olig-2
ExN-L2/3-2
ExN-L5-1
ExN-L2/3-2
Peri-1
ExN-L5-1
InN-Pvalb-2
ExN-L5-1
Endo-1
InN-Pvalb-3
Endo-1
ExN-L5-2
Peri-1
ExN-L5-1
Peri-1
OPC
InN-Pvalb-3
Peri-1
Olig-2
Macro
Astro-1
ExN-L5-2
ExN-L5-3
Olig-2
OPC
Peri-1
Olig-2
ExN-L5-3
Micro-1
ExN-L5-1
ExN-L5-1
ExN-L5-2
Endo-3
ExN-L5-1
ExN-L2/3-2
Peri-1
ExN-L5-1
Olig-2
ExN-L2/3-1
InN-Sst-2
Olig-2
ExN-L2/3-1
OPC
ExN-L2/3-1
ExN-L2/3-1
Astro-1
Astro-1
ExN-L2/3-1
Micro-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Micro-1
Endo-1
Endo-1
ExN-L2/3-1
Micro-1
ExN-L2/3-1
ExN-L2/3-1
Vlmc
OPC
Micro-1
ExN-L2/3-1
Micro-3
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Astro-1
ExN-L2/3-1
Olig-2
Astro-1
Endo-1
Endo-1
ExN-L2/3-1
InN-Vip
InN-Lamp5
Peri-1
ExN-L2/3-1
Endo-1
Micro-1
Olig-2
Olig-2
InN-Vip
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Micro-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
Endo-1
ExN-L2/3-2
ExN-L2/3-1
ExN-L5-2
ExN-L2/3-1
Endo-1
ExN-L2/3-1
ExN-L2/3-1
Micro-1
Olig-2
ExN-L2/3-2
Olig-2
ExN-L2/3-2
InN-Pvalb-2
Olig-2
ExN-L2/3-2
Endo-1
ExN-L2/3-1
ExN-L2/3-1
Astro-1
ExN-L2/3-1
Endo-1
Endo-1
Peri-1
ExN-L2/3-1
ExN-L2/3-1
Endo-3
ExN-L5-2
ExN-L2/3-1
Astro-1
ExN-L2/3-2
ExN-L2/3-1
ExN-L2/3-2
Peri-2
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-1
ExN-L2/3-2
ExN-L2/3-1
Endo-1
Micro-3
Astro-1
