cell_type_annot
Astro
ExN
ExN
Micro
OPC
ExN
Vlmc
ExN
Astro
Astro
InN
ExN
ExN
InN
ExN
ExN
ExN
ExN
InN
ExN
ExN
ExN
ExN
ExN
InN
ExN
Astro
Astro
Micro
Macro
Astro
InN
ExN
ExN
InN
Vlmc
Endo
ExN
Vlmc
Endo
Peri
ExN
Micro
Vlmc
ExN
Vlmc
InN
Endo
Peri
Peri
ExN
Endo
Astro
Vlmc
Endo
Astro
Vlmc
Astro
OPC
InN
Vlmc
Astro
ExN
ExN
Endo
ExN
Endo
InN
Endo
ExN
ExN
ExN
ExN
InN
OPC
ExN
ExN
ExN
ExN
InN
InN
ExN
Astro
ExN
ExN
ExN
ExN
ExN
Micro
ExN
Endo
ExN
ExN
Endo
ExN
OPC
ExN
Peri
InN
ExN
ExN
Macro
ExN
ExN
ExN
Peri
InN
ExN
ExN
ExN
ExN
InN
InN
ExN
OPC
ExN
Endo
ExN
ExN
Micro
Micro
InN
Peri
InN
Endo
Olig
Micro
ExN
Endo
ExN
Peri
ExN
Endo
Olig
Astro
Peri
ExN
InN
Astro
Olig
Astro
ExN
Olig
ExN
InN
ExN
OPC
ExN
Vlmc
Micro
ExN
Endo
Endo
InN
ExN
ExN
ExN
Olig
ExN
Micro
InN
Olig
ExN
ExN
InN
Astro
ExN
Micro
ExN
ExN
InN
ExN
ExN
ExN
ExN
ExN
ExN
InN
Olig
Micro
ExN
OPC
Olig
ExN
ExN
InN
Endo
Olig
Macro
Astro
Olig
ExN
Astro
ExN
ExN
OPC
ExN
Astro
Astro
Endo
ExN
Endo
Micro
ExN
ExN
Olig
ExN
ExN
Olig
ExN
ExN
ExN
Olig
Peri
ExN
ExN
ExN
ExN
Olig
ExN
Olig
ExN
ExN
ExN
Olig
ExN
Astro
ExN
Olig
Olig
Olig
Astro
ExN
ExN
Endo
Olig
Micro
Olig
ExN
Micro
InN
ExN
Micro
ExN
ExN
ExN
Olig
InN
Astro
ExN
Olig
InN
ExN
Micro
InN
InN
Olig
ExN
Macro
Olig
ExN
Micro
ExN
Olig
Micro
ExN
Endo
ExN
Olig
Olig
Olig
ExN
Olig
Olig
Olig
MSN
Olig
Astro
ExN
Olig
ExN
InN
ExN
InN
Astro
ExN
Olig
ExN
ExN
Olig
ExN
InN
ExN
ExN
ExN
ExN
Endo
ExN
ExN
InN
Micro
ExN
Endo
Olig
Micro
ExN
InN
ExN
ExN
ExN
Astro
ExN
ExN
ExN
ExN
ExN
ExN
Epen
ExN
Endo
ExN
Olig
ExN
Endo
Endo
ExN
Olig
InN
Olig
Olig
ExN
ExN
InN
Peri
InN
InN
Micro
ExN
ExN
ExN
ExN
ExN
Micro
ExN
Olig
Peri
ExN
Endo
Olig
ExN
Olig
Olig
ExN
Olig
InN
Micro
Olig
Peri
Micro
Endo
Olig
ExN
ExN
ExN
ExN
ExN
InN
ExN
Olig
ExN
Astro
Olig
ExN
ExN
Peri
ExN
ExN
Olig
ExN
Endo
InN
InN
Peri
ExN
ExN
ExN
InN
Astro
ExN
InN
Peri
Macro
ExN
ExN
Peri
ExN
Olig
ExN
Astro
ExN
Astro
ExN
ExN
InN
ExN
ExN
Micro
ExN
ExN
ExN
ExN
ExN
ExN
ExN
ExN
Olig
ExN
Peri
Micro
Olig
ExN
Astro
ExN
InN
ExN
ExN
ExN
ExN
ExN
ExN
ExN
ExN
ExN
ExN
Peri
ExN
ExN
Endo
ExN
InN
ExN
ExN
ExN
InN
Olig
ExN
ExN
ExN
ExN
InN
Endo
ExN
ExN
ExN
Astro
ExN
ExN
Peri
Endo
Endo
InN
OPC
Vlmc
Astro
Astro
Astro
OPC
Astro
Astro
Olig
ExN
Olig
Olig
Endo
ExN
Macro
ExN
ExN
InN
Olig
ExN
Astro
ExN
ExN
ExN
ExN
ExN
Astro
Micro
Vlmc
Olig
Olig
ExN
Olig
Astro
InN
Astro
Olig
Astro
InN
InN
OPC
Olig
InN
ExN
Peri
ExN
Micro
ExN
Micro
InN
Astro
ExN
ExN
Endo
InN
Astro
Endo
InN
Astro
ExN
Olig
Micro
Olig
Peri
ExN
ExN
Peri
InN
ExN
Micro
ExN
Olig
ExN
Astro
ExN
ExN
Astro
Astro
InN
OPC
Peri
ExN
InN
ExN
ExN
Olig
ExN
ExN
ExN
ExN
ExN
ExN
ExN
ExN
