cell_type_annot
Olig
OPC
Vlmc
Olig
ExN
Endo
Peri
ExN
ExN
ExN
ExN
Peri
Olig
Astro
OPC
ExN
Olig
ExN
InN
InN
ExN
ExN
Vlmc
Endo
Macro
ExN
InN
Endo
InN
ExN
ExN
ExN
ExN
ExN
Endo
Astro
Peri
ExN
ExN
Olig
ExN
ExN
Astro
ExN
Astro
Astro
Micro
ExN
ExN
Endo
InN
Olig
InN
Olig
ExN
OPC
ExN
InN
ExN
ExN
ExN
ExN
ExN
ExN
InN
ExN
ExN
Micro
Olig
ExN
InN
ExN
ExN
ExN
ExN
ExN
Astro
Endo
Olig
InN
InN
ExN
ExN
Astro
Olig
Astro
Endo
InN
Olig
Astro
Olig
Astro
Micro
Endo
Astro
InN
Micro
Micro
InN
InN
ExN
ExN
ExN
ExN
ExN
Endo
InN
Astro
ExN
ExN
InN
Astro
InN
ExN
Astro
MSN
ExN
InN
ExN
ExN
Micro
ExN
Peri
ExN
InN
ExN
Peri
ExN
ExN
ExN
ExN
ExN
ExN
ExN
Astro
Macro
Astro
ExN
InN
ExN
Macro
ExN
ExN
ExN
ExN
InN
InN
Astro
ExN
InN
Astro
ExN
ExN
Micro
ExN
ExN
ExN
ExN
InN
Astro
Micro
InN
Olig
Astro
Olig
Astro
Micro
ExN
ExN
ExN
ExN
Peri
Micro
Astro
ExN
Peri
ExN
Astro
ExN
ExN
InN
Endo
Endo
Astro
ExN
Astro
ExN
Olig
ExN
Olig
ExN
ExN
ExN
InN
ExN
OPC
Olig
ExN
ExN
ExN
ExN
Astro
Endo
Macro
ExN
ExN
ExN
InN
Micro
InN
ExN
ExN
ExN
ExN
ExN
ExN
ExN
ExN
Peri
ExN
Peri
ExN
Peri
ExN
ExN
ExN
ExN
Olig
ExN
ExN
ExN
ExN
Endo
InN
Vlmc
ExN
ExN
ExN
ExN
InN
ExN
Astro
ExN
ExN
ExN
ExN
InN
InN
ExN
ExN
Astro
ExN
Micro
InN
ExN
ExN
ExN
InN
ExN
Astro
Endo
InN
ExN
ExN
ExN
ExN
ExN
ExN
ExN
